,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
1093,2.24337344628704,48.984735551229,Bibliothèque Annexe André Malraux,95219,Ermont,library,Bibliothèque,POINT (2.24337344628704 48.984735551229),11620
1094,2.375052289342,48.6698794064171,mediatheque,91687,Viry-Châtillon,library,Bibliothèque,POINT (2.375052289342 48.6698794064171),13292
1094,2.375052289342,48.6698794064171,mediatheque,91687,Viry-Châtillon,library,Bibliothèque,POINT (2.375052289342 48.6698794064171),13293
1094,2.375052289342,48.6698794064171,mediatheque,91687,Viry-Châtillon,library,Bibliothèque,POINT (2.375052289342 48.6698794064171),13418
1094,2.375052289342,48.6698794064171,mediatheque,91687,Viry-Châtillon,library,Bibliothèque,POINT (2.375052289342 48.6698794064171),13419
1094,2.375052289342,48.6698794064171,mediatheque,91687,Viry-Châtillon,library,Bibliothèque,POINT (2.375052289342 48.6698794064171),13545
1095,2.04519216716064,48.7806812484239,Bibliothèque universitaire de Saint-Quentin,78297,Guyancourt,library,Bibliothèque,POINT (2.04519216716064 48.7806812484239),8618
1095,2.04519216716064,48.7806812484239,Bibliothèque universitaire de Saint-Quentin,78297,Guyancourt,library,Bibliothèque,POINT (2.04519216716064 48.7806812484239),8619
1095,2.04519216716064,48.7806812484239,Bibliothèque universitaire de Saint-Quentin,78297,Guyancourt,library,Bibliothèque,POINT (2.04519216716064 48.7806812484239),8744
1095,2.04519216716064,48.7806812484239,Bibliothèque universitaire de Saint-Quentin,78297,Guyancourt,library,Bibliothèque,POINT (2.04519216716064 48.7806812484239),8745
1095,2.04519216716064,48.7806812484239,Bibliothèque universitaire de Saint-Quentin,78297,Guyancourt,library,Bibliothèque,POINT (2.04519216716064 48.7806812484239),8870
1096,2.37765083170573,48.9267893459338,Médiathèque John Lennon,93027,La Courneuve,library,Médiathèque,POINT (2.37765083170573 48.9267893459338),13264
1096,2.37765083170573,48.9267893459338,Médiathèque John Lennon,93027,La Courneuve,library,Médiathèque,POINT (2.37765083170573 48.9267893459338),13389
1096,2.37765083170573,48.9267893459338,Médiathèque John Lennon,93027,La Courneuve,library,Médiathèque,POINT (2.37765083170573 48.9267893459338),13390
1096,2.37765083170573,48.9267893459338,Médiathèque John Lennon,93027,La Courneuve,library,Médiathèque,POINT (2.37765083170573 48.9267893459338),13516
1097,2.35529001972797,48.8479266080636,Bibliothèque Biologie-Chimie-Physique recherche,75056,Paris,library,Bibliothèque,POINT (2.35529001972797 48.8479266080636),12895
1097,2.35529001972797,48.8479266080636,Bibliothèque Biologie-Chimie-Physique recherche,75056,Paris,library,Bibliothèque,POINT (2.35529001972797 48.8479266080636),13020
1097,2.35529001972797,48.8479266080636,Bibliothèque Biologie-Chimie-Physique recherche,75056,Paris,library,Bibliothèque,POINT (2.35529001972797 48.8479266080636),13021
1097,2.35529001972797,48.8479266080636,Bibliothèque Biologie-Chimie-Physique recherche,75056,Paris,library,Bibliothèque,POINT (2.35529001972797 48.8479266080636),13146
1097,2.35529001972797,48.8479266080636,Bibliothèque Biologie-Chimie-Physique recherche,75056,Paris,library,Bibliothèque,POINT (2.35529001972797 48.8479266080636),13147
1098,2.53483803787977,48.8636664045981,Médiathèque Antoine de Saint-Exupéry,93050,Neuilly-sur-Marne,library,Médiathèque,POINT (2.53483803787977 48.8636664045981),15413
1098,2.53483803787977,48.8636664045981,Médiathèque Antoine de Saint-Exupéry,93050,Neuilly-sur-Marne,library,Médiathèque,POINT (2.53483803787977 48.8636664045981),15539
